0.1,100 keV,254000,921,259752,
0.1,100 keV,246500,885,252033,
0.1,100 keV,248000,892,253733,
0.1,100 keV,251500,953,257642,
0.2,200 keV,252000,614,269720,
0.2,200 keV,249000,597,266835,
0.2,200 keV,248500,589,266156,
0.2,200 keV,250500,600,268297,
0.3,300 keV,250500,521,269176,
0.3,300 keV,248500,495,266622,
0.3,300 keV,252500,530,271004,
0.3,300 keV,248500,481,266832,
0.4,400 keV,250000,422,267261,
0.4,400 keV,249500,435,266646,
0.4,400 keV,252000,477,269426,
0.4,400 keV,248500,447,265188,
0.5,500 keV,251000,398,266814,
0.5,500 keV,253000,434,268828,
0.5,500 keV,250000,429,265899,
0.5,500 keV,246000,396,261567,
0.6,600 keV,251000,403,265501,
0.6,600 keV,249500,393,264104,
0.6,600 keV,250000,376,264472,
0.6,600 keV,249500,386,263910,
0.7,700 keV,250000,363,263543,
0.7,700 keV,243000,345,255881,
0.7,700 keV,252500,360,265900,
0.7,700 keV,254500,372,268112,
0.8,800 keV,254500,340,267260,
0.8,800 keV,248500,322,260929,
0.8,800 keV,248500,365,260747,
0.8,800 keV,248500,341,260710,
0.9,900 keV,251000,295,262757,
0.9,900 keV,249500,336,260997,
0.9,900 keV,250000,341,261551,
0.9,900 keV,249500,363,261034,
1,1 MeV,252000,310,263025,
1,1 MeV,249000,324,259747,
1,1 MeV,249000,315,259709,
1,1 MeV,250000,329,260880,
1.1,1.1 MeV,250500,289,260595,
1.1,1.1 MeV,245500,273,255533,
1.1,1.1 MeV,254500,266,264508,
1.1,1.1 MeV,249500,328,259815,
1.2,1.2 MeV,250000,283,259479,
1.2,1.2 MeV,253000,294,262791,
1.2,1.2 MeV,247500,254,256993,
1.2,1.2 MeV,249500,266,258982,
1.3,1.3 MeV,247500,269,256584,
1.3,1.3 MeV,252500,270,261685,
1.3,1.3 MeV,251000,279,260017,
1.3,1.3 MeV,249000,250,257932,
1.4,1.4 MeV,253000,268,261504,
1.4,1.4 MeV,245500,240,254019,
1.4,1.4 MeV,254500,292,263223,
1.4,1.4 MeV,247000,259,255685,
1.5,1.5 MeV,244500,281,252539,
1.5,1.5 MeV,251000,254,259018,
1.5,1.5 MeV,250000,270,258288,
1.5,1.5 MeV,254500,254,262818,
