0.75,750 keV,252500,22,2445,
0.75,750 keV,252500,30,2400,
0.75,750 keV,247500,64,2522,
0.75,750 keV,247500,26,2390,
0.75,750 keV,250000,62,2519,
0.75,750 keV,249000,28,2299,
0.75,750 keV,251000,38,2533,
0.75,750 keV,250000,14,2406,
0.75,750 keV,253500,48,2402,
0.75,750 keV,242000,38,2394,
0.75,750 keV,254500,32,2509,
0.75,750 keV,250000,24,2452,
0.75,750 keV,253000,42,2464,
0.75,750 keV,248500,16,2434,
0.75,750 keV,249000,52,2349,
0.75,750 keV,249500,32,2510,
0.75,750 keV,250500,32,2453,
0.75,750 keV,251000,32,2405,
0.75,750 keV,246500,28,2341,
0.75,750 keV,252000,50,2558,
0.75,750 keV,242500,10,2334,
0.75,750 keV,252500,40,2549,
0.75,750 keV,255500,48,2431,
0.75,750 keV,249500,44,2443,
